LAV Lajosváros
AVZ Agria Volán Zrt.
ARU Aradi út
NAU Nagyváradi út
GAU Galagonyás utca
VBU Vasútállomás bejárati út
SBU Sportpálya bejárati út
SZI Színház
AUA Autóbusz-állomás
DOG Dobó Gimnázium
TUT Tűzoltó tér
MAU Malom út
HOK Hőközpont
SHK Shell kút
CIU Cifrakapu út
TEA Tesco áruház
RAT Ráckapu tér
GAH Garzon ház
KOT Kővágó tér
NAL Nagylapos
EGU Egri út
FEA Felnémet, Aut.vt.
ALU Alvégi utca
KJU Kovács Jakab út
FEU Felvégi út
PAL Pásztorvölgy lakótelep
FEB Felnémet, Béke út
JAU József Attila utca
FUT Fűrésztelep
SAU Sánc út
BEU Bervai út
KBU Kőbánya bejáró út
BER Berva
TIU Tiba utca
FEV Felsőváros
BAZ Bazilika
SET Széna tér
VPU	Veres Péter út
MKU	Mátyás király út
KOU	Koháry út 35.
AGP	Agria Park
BAU	Bartakovics út
KIT	Kisasszony temető
TIH	Tiszti házak
CSU	Csokonai út
BKU	Baktai út
VAS	Vasútállomás
SZU	Szövetkezet út
HMK	HM-i kamara
IPP	Ipari park
AGR	Agroker
TRT	Tranzit tüzép
KU5	Kistályai út 50.
SKK	Schön Kaev KFT.
ZFH	ZF Hungaria KFT.
TIM	Tihaméri malom
HOU	Homok utca
MAH	Maklári hóstya
SZT	Szarvas tér
EGY	Egyetem
EGH	Egészségház út
USZ	Uszoda
VEV	Vécsey völgy forduló
ECU	Egri csillagok utca
EVV	Eger, vár V. MH.
TTV	Tetemvár út
BTS	Bazilika (Törvényszék)
HVT	Hatvani temető
BGU	Bethlen Gábor út
PFU	Petőfi út
GYU	Garay út
RDU	Radnóti út
LTU	Laktanya utca
VMU	Váci Mihály utca
AJU	Ankli József út
MIU	Mikes Kelemen út
VKB	Vak Bottyán út
KYU	Kisfaludy út
SAS	Sas út
LDU	Lájer Dezső utca
MLU	Mocsáry L. út
ISK	Iskola út
SZA	Szalapart út
BLF	Berva LTP., forduló
